text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @Ciencia_UNAM: #EmergenciaCoronavirus
Letalidad, inmunidad, carga viral. No te confundas con los trminos! Consulta el Glosario Epidemi",FALSE,0,NA,2020-04-30T04:06:36Z,FALSE,NA,1255710116860461056,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Elvisitante_77,4,TRUE,FALSE,NA,NA
"Dr #RaghuramRajan tells #RahulGandhi that infrastructure and public transport, besides #health, #education and admi https://t.co/ZgEunOadVE",FALSE,0,NA,2020-04-30T04:06:36Z,TRUE,NA,1255710115266691074,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",keshavdrasti,0,FALSE,FALSE,NA,NA
RT @21WIRE: Q: Do you believe that Government was justified and acting on best expert advice in ordering societal #Lockdown and economic #s,FALSE,0,NA,2020-04-30T04:06:33Z,FALSE,NA,1255710104453865473,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Al29434039,264,TRUE,FALSE,NA,NA
Im goin to #CaraDelevingne 's house to see if i CAN get a Lap dance Now im Tryna see if she gon give me a lil bit o https://t.co/AzpQzZzKdF,FALSE,0,NA,2020-04-30T04:06:33Z,TRUE,NA,1255710103153651713,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",3ThreeisCompany,0,FALSE,FALSE,NA,NA
RT @MJA_Editor: #Flutracking - Amazing fall in flu-like symptoms since the social distancing restrictions put in place. Not only is the com,FALSE,0,NA,2020-04-30T04:06:32Z,FALSE,NA,1255710100536258561,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",MarieCo92176893,5,TRUE,FALSE,NA,NA
RT @Valdiguie: A quoi servent les points quotidiens de Jrme Salomon sil faut attendre une alerte anglaise pour que Necker confirme ensui,FALSE,0,NA,2020-04-30T04:06:31Z,FALSE,NA,1255710094345613322,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",edira2,652,TRUE,FALSE,NA,NA
RT @PanamaAmerica: #Opina Deben las autoridades mantener la #LeySeca en medio de la pandemia de #COVID-19? Djanos saber tu opinin.,FALSE,0,NA,2020-04-30T04:06:30Z,FALSE,NA,1255710092835590150,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",verodianeth,1,TRUE,FALSE,NA,NA
"RT @MrsC_Assange: Americans..
Please save my sons life

Julian Assange
*Journalist
*Political prisoner
*Chronic lung condition 

*Doctors u",FALSE,0,NA,2020-04-30T04:06:28Z,FALSE,NA,1255710082010095617,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FrancetteJB,55,TRUE,FALSE,NA,NA
"RT @MayorGallego: The decision @dougducey 
made wasnt an easy one, but was the right one. We encourage the Governor to commit to a 14-day",FALSE,0,NA,2020-04-30T04:06:27Z,FALSE,NA,1255710080722337792,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DenisaCasement,56,TRUE,FALSE,NA,NA
RT @Techpally1: A way out of the #Covid-19 Nose cover madness. #DoitYourselve https://t.co/2xNwonYsRF https://t.co/b9d4LihlNL,FALSE,0,NA,2020-04-30T04:06:27Z,FALSE,NA,1255710078671478785,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",bob_chaktty,1,TRUE,FALSE,NA,NA
