text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"En #SantoDomingo junto a Carlos Jaramillo, Subsecretario de Provisin de Servicios, mantuvimos reunin con autorida https://t.co/V37T4KK6Nh",FALSE,0,NA,2020-04-30T04:06:54Z,TRUE,NA,1255710191884161024,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",LuisGomez_cz4,0,FALSE,FALSE,NA,NA
"#Covid_19 gave us good music, no lie https://t.co/TBxCUYqUm9",FALSE,0,NA,2020-04-30T04:06:53Z,FALSE,NA,1255710189912641536,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SimiloTheGuy,0,FALSE,FALSE,NA,NA
"A man who was way ahead of good time.
#socialdistancing #coronavirus #covid_19 #personalspace https://t.co/f4LEnrtYDl",FALSE,0,NA,2020-04-30T04:06:52Z,FALSE,NA,1255710185651417089,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",PatRosenberger,0,FALSE,FALSE,NA,NA
"RT @JhaSanjay: A neutral appraisal of how #Modi Jis govt has handled #Covid_19 so far: 

Infection and mortality rate, testing and tracing",FALSE,0,NA,2020-04-30T04:06:51Z,FALSE,NA,1255710181423321088,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ShhaikhZ,21,TRUE,FALSE,NA,NA
"RT @WarlusTrades: If #ElliottWave holds true, $ES_F is setting up for a huge rally next week! The 2 flats satisfy the guidelines for a 1-2",FALSE,0,NA,2020-04-30T04:06:51Z,FALSE,NA,1255710177786880001,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",alana69390294,26,TRUE,FALSE,NA,NA
"RT @LambaAlka: This is the real kind of discussion which India needs at this hour.. .

#Covid_19 #lockdown 

#RaghuramRajan #RahulGandhi",FALSE,0,NA,2020-04-30T04:06:50Z,FALSE,NA,1255710177447141376,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",amit371973,50,TRUE,FALSE,NA,NA
"#Esmeraldas | Hoy en el HDTC en Esmeraldas nos reunimos con Renzo Vasconez, Coordinador Zonal 1 salud, con quien ma https://t.co/Binq7t0A8T",FALSE,1,NA,2020-04-30T04:06:50Z,TRUE,NA,1255710176814026753,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",drecheverrialex,0,FALSE,FALSE,NA,NA
RT @docvjg: This lady is working in a ICU deptt. in hospital where covid patients are treated.She came home after 20 days of non-stop servi,FALSE,0,NA,2020-04-30T04:06:50Z,FALSE,NA,1255710173777342464,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rameshdaswani,997,TRUE,FALSE,NA,NA
"RT @DCGRW: Todays Sethi Menu for our Covid-19 guests. Desi Ghee ka Paratha and Chicken Chaney 
#Covid_19 https://t.co/fp4K46HUJk",FALSE,0,NA,2020-04-30T04:06:48Z,FALSE,NA,1255710167204859906,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",OnePakistani,7,TRUE,FALSE,NA,NA
RT @pankajj_das:   #Covid_19  ICU                ,FALSE,0,NA,2020-04-30T04:06:48Z,FALSE,NA,1255710166831501312,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SarojrajKtm,22,TRUE,FALSE,NA,NA
"RT @PbGinna: La disque influencer esposa de Samuel Garcia (Nuevo Len), vendiendo el material que mand el extrajero a los hospitales para",FALSE,0,NA,2020-04-30T04:06:48Z,FALSE,NA,1255710166617636864,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",fyee59,132,TRUE,FALSE,NA,NA
"Source: Gov. Newsom to announce closure of all beaches and state parks https://t.co/T72BqtAt3m 
#Covid_19 #CoronavirusLockdown 
#LosAngeles",FALSE,0,NA,2020-04-30T04:06:47Z,FALSE,NA,1255710163958468616,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",UnaAenlad,0,FALSE,FALSE,NA,NA
"RT @teatrobarrio: Somos @plataforlacuba, una iniciativa de las vecinas como respuesta a la emergencia social alimentaria tras las crisis de",FALSE,0,NA,2020-04-30T04:06:47Z,FALSE,NA,1255710163409031177,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vero5527,59,TRUE,FALSE,NA,NA
RT @DoctorRhodes: I think we should take Kerwyns #Covid_19 PSA a step further and loudly sing #Svengoolies Cards &amp; Letters song no matt,FALSE,0,NA,2020-04-30T04:06:46Z,FALSE,NA,1255710157541183488,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",ChrisWisniewsk1,8,TRUE,FALSE,NA,NA
