text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"#Esmeraldas | Hoy en el HDTC en Esmeraldas nos reunimos con Renzo Vasconez, Coordinador Zonal 1 salud, con quien ma https://t.co/Binq7t0A8T",FALSE,0,NA,2020-04-30T04:06:50Z,TRUE,NA,1255710176814026753,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",drecheverrialex,0,FALSE,FALSE,NA,NA
"RT @DB4WorldJustice:  COVID-19 update 
29 April, 20:30
Total passed 3,200,000
Another 200,000 in 2.5days
May be &gt;16 million.

Lock-down s",FALSE,0,NA,2020-04-30T04:06:50Z,FALSE,NA,1255710176537120769,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jayoung1892,1,TRUE,FALSE,NA,NA
RT @INCIndia: Tune into our social media channels at 9AM today to watch Shri @RahulGandhi interact with Former RBI Governor Dr. Raghuram Ra,FALSE,0,NA,2020-04-30T04:06:50Z,FALSE,NA,1255710176356622337,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",gops333,268,TRUE,FALSE,NA,NA
"RT @JoeBiden: The words of a president matter  and Donald Trump has used his to downplay COVID-19, pass blame onto others, and mislead the",FALSE,0,NA,2020-04-30T04:06:50Z,FALSE,NA,1255710176255946752,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",srolguin,4317,TRUE,FALSE,NA,NA
"RT @nonbeepanda: 

",FALSE,0,NA,2020-04-30T04:06:50Z,FALSE,NA,1255710176167878656,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",ugirej,61,TRUE,FALSE,NA,NA
RT @DanielaLima_: O nmero de mortes e de casos da Covid-19 no Brasil acelerou. Isso  um fato. O ministro da Sade enalteceu o isolamento,FALSE,0,NA,2020-04-30T04:06:50Z,FALSE,NA,1255710176151252993,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RPMania98,26,TRUE,FALSE,NA,NA
"Cuba muestra mejores nmeros, pero extrema el enfrentamiento a la COVID-19 https://t.co/8hZHx5rOJO",FALSE,0,NA,2020-04-30T04:06:50Z,FALSE,NA,1255710175723433988,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KenelmaCarvaja1,0,FALSE,FALSE,NA,NA
"RT @ABarloventoInfo: El Dir. general de Epidemiologa, Jos Luis Aloma, inform que hasta el momento Mxico contabiliza 17 mil 799 casos d",FALSE,0,NA,2020-04-30T04:06:50Z,FALSE,NA,1255710175576469504,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Estigiaed,3,TRUE,FALSE,NA,NA
"RT @rodrialegre: Ramon Chazarreta tiene una condena de 3 aos y 6 meses por lesiones contra su pareja, robo con arma de fuego e hurto. Esta",FALSE,0,NA,2020-04-30T04:06:50Z,FALSE,NA,1255710175547228167,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",oakyy33,910,TRUE,FALSE,NA,NA
RT @Juan_A_Ybarra: Fantstica noticia de que Snchez no dirigir el desconfinamiento si no se prorroga el estado de alarma en el Congreso!,FALSE,0,NA,2020-04-30T04:06:50Z,FALSE,NA,1255710175434080263,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",solpedmed,27,TRUE,FALSE,NA,NA
Can someone please tell me the hotline number for covid 19,FALSE,0,NA,2020-04-30T04:06:50Z,FALSE,NA,1255710175312465925,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",riyannnah,0,FALSE,FALSE,NA,NA
"RT @Harpootlian4SC: .@AgingSC provides programs &amp; resources on their website to help find transportation, assisted living, &amp; financial serv",FALSE,0,NA,2020-04-30T04:06:50Z,FALSE,NA,1255710175215968257,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AviFlyGirl,2,TRUE,FALSE,NA,NA
